City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Urucara,BR,88.23,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
638,Warrensburg,US,70.02,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
639,Ruwi,OM,89.29,clear sky,23.5996,58.5507,Al Falaj Hotel
640,Beckley,US,80.49,scattered clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
641,Plouzane,FR,73.45,clear sky,48.3833,-4.6167,Lymina
642,Zlobin,HR,74.5,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
644,Biak,ID,77.29,broken clouds,-0.9131,122.8766,Penginapan Kim
645,Parati,BR,77.31,broken clouds,-23.2178,-44.7131,Che Lagarto Paraty
647,Bonthe,SL,84.97,light rain,7.5264,-12.505,Bonthe Holiday Village
648,Loreto,MX,71.67,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
650,Ozinki,RU,70.54,scattered clouds,51.1786,49.6769,Korolevskiy Dvor
658,Kalmunai,LK,83.01,scattered clouds,7.4167,81.8167,VS Villa
665,Meadow Lake,US,70.61,clear sky,34.8014,-106.5436,TumbleWeed RV Park
668,Alexandria,EG,75.04,clear sky,31.2156,29.9553,Royal Crown Hotel
670,Axim,GH,83.21,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
671,Kaifeng,CN,81.91,scattered clouds,34.7911,114.3483,Pullman Kaifeng Jianye
672,Sechura,PE,72.54,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
674,Limon,CR,84.09,broken clouds,10.0,-83.0333,Hotel Playa Bonita
677,Middelharnis,NL,70.97,overcast clouds,51.7575,4.1653,Bed and Breakfast Goeree Overflakkee
678,Altea,ES,85.64,overcast clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
679,Varkkallai,IN,82.18,clear sky,8.7341,76.7067,Hindustan Beach Retreat
681,Velyka Lepetykha,UA,80.98,scattered clouds,47.1757,33.9436,беседка для отдыха Островка
683,Samarai,PG,80.33,overcast clouds,-10.6167,150.6667,Nuli Sapi
684,Sao Jose Da Coroa Grande,BR,81.77,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
686,Muborak,UZ,88.47,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
693,Muscatine,US,71.76,clear sky,41.4667,-91.1335,Bed Bekfast
